XNR_3804	XNR_0188	{'weight': 0.5491026959, 'IsDirected' : True, 'Source' : 'BNF'}
XNR_3804	XNR_0320	{'weight': 0.5049017342, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3804	XNR_1183	{'weight': 0.4912134413, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3804	XNR_1257	{'weight': 0.4601047072, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3804	XNR_3527	{'weight': 0.4577991539, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_3527	{'weight': 0.5889007618, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_5152	{'weight': 0.8372851779, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_0603	XNR_4502	{'weight': 0.5988378361, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_0323	XNR_4502	{'weight': 0.554882497, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_0603	XNR_1386	{'weight': 0.9481685414, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_1001	XNR_1298	{'weight': 0.883781959967836, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_3838	XNR_4502	{'weight': 0.790532070897121, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_4479	XNR_4674	{'weight': 0.502648500031945, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_4499	XNR_4674	{'weight': 0.502648500031945, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_3886	XNR_5758	{'weight': 0.926535304779735, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_1386	XNR_5465	{'weight': 0.499736342502598, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_5159	XNR_5465	{'weight': 0.499736342502598, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_1036	XNR_3804	{'weight': 0.670079816824927, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_1386	XNR_5159	{'weight': 0.499736342502598, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_4690	XNR_0188	{'weight': 0.5500150275, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_0320	{'weight': 0.5057289936, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_1183	{'weight': 0.4916708225, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_1257	{'weight': 0.5505634465, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_4502	{'weight': 0.301948242, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_1291	XNR_2735	{'weight': 0.4988737514, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_1293	XNR_2735	{'weight': 0.3963547014, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4015	XNR_2735	{'weight': 0.2948561906, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_1482	XNR_2735	{'weight': 0.2939235044, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3459	XNR_2735	{'weight': 0.1369755717, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_4690	XNR_2735	{'weight': 0.1355742057, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3804	XNR_2735	{'weight': 0.1353010468, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_0282	XNR_2735	{'weight': 0.208134278852152, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_2735	XNR_2855	{'weight': 0.208134278852152, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_2735	XNR_3527	{'weight': 0.208134278852152, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_2735	XNR_5199	{'weight': 0.208134278852152, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_2735	XNR_5202	{'weight': 0.208134278852152, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_4690	XNR_5202	{'weight': 	0.5889131249, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_3804	XNR_5202	{'weight': 	0.4578099075, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_1291	XNR_2855	{'weight': 	0.4048952553, 'IsDirected' :	True, 'Source' : 'BNF'}
XNR_2152	XNR_4690	{'weight': 	0.397330637132829, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_2969	XNR_4690	{'weight': 	0.39733063713282, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_0188	XNR_0320	{'weight': 	0.525171535597738, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_0188	XNR_1257	{'weight': 	0.525171535597738, 'IsDirected' : False, 'Source' : 'CLR'}
XNR_0320	XNR_1257	{'weight': 	0.525171535597738, 'IsDirected' : False, 'Source' : 'CLR'}
